name;test_number;n_procesors;task_number;max_load;cov;max_part_of_processors;length_function;max_end;mean_response_time;mean_processing_time;mean_ideal_delay_time;actual_resource_load
NaiveScheduler-comparator_smallest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;790681.1177218978;15.81351479280289;15.81351479280289;-2.52581955351161e-14;0.1999986396331893
NaiveScheduler-comparator_smallest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;785556.8904413234;15.720897702931795;15.720897702931795;7.39456496035018e-14;0.20012424172232576
NaiveScheduler-comparator_smallest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;784402.4758240981;15.681705612220656;15.681705612220656;9.47750322666252e-14;0.19991912437228515
NaiveScheduler-comparator_oldest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;790681.1177218978;15.81351479280289;15.81351479280289;-2.52581955351161e-14;0.1999986396331893
NaiveScheduler-comparator_oldest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;785556.8904413234;15.720897702931795;15.720897702931795;7.39456496035018e-14;0.20012424172232576
NaiveScheduler-comparator_oldest_task;0;100;10000;0.2;0.3;1.0;CONCAVE;784402.4758240981;15.681705612220656;15.681705612220656;9.47750322666252e-14;0.19991912437228515
SeparateScheduler-comparator_smallest_task-0.25;0;100;10000;0.2;0.3;1.0;CONCAVE;790687.9166949644;21.084686390403984;21.084686390403984;5.271171597601068;0.1999969198834188
SeparateScheduler-comparator_smallest_task-0.25;0;100;10000;0.2;0.3;1.0;CONCAVE;785560.4449065768;20.961196937242452;20.961196937242452;5.240299234310731;0.20012333621000322
SeparateScheduler-comparator_smallest_task-0.25;0;100;10000;0.2;0.3;1.0;CONCAVE;784406.3962679515;20.908940816294315;20.908940816294315;5.227235204073752;0.1999181251814261
SeparateScheduler-comparator_smallest_task-0.5;0;100;10000;0.2;0.3;1.0;CONCAVE;790701.5146410975;31.62702958560571;31.62702958560571;15.813514792802797;0.19999348047259854
SeparateScheduler-comparator_smallest_task-0.5;0;100;10000;0.2;0.3;1.0;CONCAVE;785567.5538370836;31.4417954058634;31.4417954058634;15.720897702931678;0.20012152520993773
SeparateScheduler-comparator_smallest_task-0.5;0;100;10000;0.2;0.3;1.0;CONCAVE;784414.2371556581;31.363411224441357;31.363411224441357;15.681705612220794;0.19991612682966686
SeparateScheduler-comparator_smallest_task-0.75;0;100;10000;0.2;0.3;1.0;CONCAVE;790742.308479497;66.7103356952358;63.254059171211686;50.896820902432886;0.19998316294989232
SeparateScheduler-comparator_smallest_task-0.75;0;100;10000;0.2;0.3;1.0;CONCAVE;785592.5615943584;66.54969873466716;62.8835908117267;50.82880103173544;0.20011515474416078
